MD	MDNAME	MDCALLDLL	MDCALLNAME	MDCLASSNAME	MDTYPE	TABLENO	ISPASS	ISSAVETOPASS	ISSAVETONEW	ISEDITTOUNPASS	ISDELETETOUNPASS	ISBAK	ONOPEN	OPENCOUNT	SHOWPASSMSG	SHOWUNPASSMSG	ShareData
2863e8ac-3605-4e46-bff1-0cc6cdf2f236	用户组	SystemManager.bpl	OpenSysGroup	TfSysGroup	0	GroupNO	0	0	0	0	0	0	0	0	0	0	0
5dda31e6-2651-45b3-a2c1-0e3efe6bbffe	仓库异动单	Stock.Bpl	OpenStock_InOut	TfStock_InOut	0	IO_NO	1	1	0	1	1	0	0	0	0	0	0
1288f556-5edd-4e4a-a4ef-109fd9d14d72	系统用户	SystemManager.bpl	OpenSysUser	TfSysUser	0	AccNo	1	0	0	0	0	0	0	0	0	0	0
b435db1e-b2ed-4360-9dc7-12641e0bf217	客户业务状态变更	Purchase.bpl	OpenPur_Supp_State	TfPur_Supp_State	0	PSS_NO	0	0	0	0	0	0	0	0	0	0	0
fbc648c5-9e24-40ee-8ab2-1619cf541877	固定资产			TfSelectFIX	0		1	1	1	1	1	1	0	0	0	0	0
597150ee-f1d0-4e1f-a535-1a41cc9228a9	职称资料	Basic.bpl	OpenJOBTITLE	TfJOBTITLE	0	JOBTITLENO	0	1	0	1	1	1	0	0	0	0	0
773046aa-3df4-4f0d-b848-1bb429d3bb16	固定资产分类			TfSelectASTtype	0		1	1	1	1	1	1	0	0	0	0	0
04bbba7f-f6dd-40e8-9b0a-1dc73a59ff03	固定资产建产	AST.bpl	OpenFIX	TfFIX	0	fixno	1	1	1	1	1	1	0	0	0	0	0
5e39b1b7-e154-4f21-a215-21f00ba08153	运输方式	Basic.bpl	OpenCONVEYANCE	TfCONVEYANCE	0	CONNO	1	1	1	1	1	1	0	0	0	0	1
fab8e3fa-c83d-414c-a835-25f058561767	客户业务状态变更	SALES.BPL	OpenSale_Cust_State	TfSale_Cust_State	0	CSC_No	1	1	0	1	1	1	0	0	0	0	1
6b275bd1-245c-491e-9137-28974350d5fa	贸易地区建立	Basic.bpl	OpenCOMMASEA	TfCOMMASEA	0	COMMASEANO	1	1	1	1	1	1	0	0	0	0	1
acbf11fd-d0dc-49c7-af95-2947fcb6d978	职业分类资料	Basic.bpl	OpenOCCUPATION	TfOCCUPATION	0	OCC_NO	1	1	1	1	1	1	0	0	0	0	1
2d2fca38-8275-41e5-b760-2aec2cd44394	部门资料建立	Basic.bpl	OpenDept	TfDept	0	deptno	0	0	0	0	0	0	0	0	0	0	1
1d5e3be2-99e2-432e-9e87-2bdb26fe7e12	固定资产增值	AST.bpl	OpenFIXADD	TfFIXADD	0		1	1	1	1	1	1	0	0	0	0	0
955d9e90-f416-4cb5-bf9d-2c922769f821	功能模块选择			TfSelectMDName	0		1	1	1	1	1	1	0	0	0	0	0
d73de503-1039-4561-aacb-2fe3731be16e	单别资料	Stock.Bpl	OpenStock_DocType	TfStock_DocType	0	DocTypeNO	0	0	0	0	0	0	0	0	0	0	1
c9abd6b1-f4df-4aca-a027-315300af72d6	采购收货单	Purchase.bpl	OpenPur_Receipt	TfPur_Receipt	0	PR_NO	0	0	0	0	0	0	0	0	0	0	0
71c99b28-c532-4410-ad65-34e29ced47c5	客户报价	SALES.BPL	OpenSALE_Quote	TfSALE_Quote	0	SQ_NO	1	0	0	0	0	0	0	0	0	0	1
20e59da8-9d81-4b7e-bf07-374aec9b8ee4	银行基本资料	Basic.bpl	OpenBanks	TfBanks	0	BankNO	1	1	1	1	1	1	0	0	0	0	1
fe9a3872-ace2-4ff8-b369-37b0d34ea97e	货币基本资料	Basic.bpl	OpenCUR	TfCur	0	Cur_NO	0	1	0	1	1	1	0	0	0	0	1
1ac2596a-4646-4d51-88ec-3913eb8b5b3f	BPL管理	SystemManager.bpl	OpenBplManage		0		0	1	0	1	0	1	0	0	0	0	0
1ac2596a-397c-4d51-88ec-3913eb8b5b3f	数据表结构管理	SystemManager.bpl	OpenTableManage	TfTABLEMANAGE	0	TABLENAME	0	0	0	0	0	0	0	0	0	0	1
cb5bfcd6-2e2b-436f-85a3-396a08ef236a	部门			TfSelectDept	0		1	1	1	1	1	1	0	0	0	0	0
d842f0c6-b046-426f-bbb7-3a74d1f836d6	民族资料	Basic.bpl	OpenFOLK	TfFOLK	0	FOLKNO	1	1	0	1	1	1	0	0	0	0	1
5a517a3a-9f02-4ba5-a794-3b1cdc32987a	消费动机（来店原因）资料	Basic.bpl	OpenCONSUME_MOTIVATION	TfCONSUME_MOTIVATION	0	MOT_NO	1	1	1	1	1	1	0	0	0	0	1
07ba5085-04bd-46e5-aa3f-3c3beb52c64b	销售送货单	SALES.BPL	OpenSale_Deliver	TfSale_Deliver	0	Sd_No	1	1	0	1	1	1	0	0	0	0	0
9a2a09c3-6530-4a75-801a-3ed0735e7cca	固定资产减值	AST.bpl	OpenFIXDel	TfFIXDel	0		1	1	1	1	1	1	0	0	0	0	0
17d6304e-a2c9-4340-8ba6-48801e59044d	职员基本资料	Basic.bpl	OpenEmployee	TfEmployee	0	emp_no	0	1	0	1	1	1	0	0	0	0	1
5890cf74-bb41-4666-a24c-4a793cdb8a80	客户选择	SelectMD.bpl	OpenSelectCust	TfSelectCust	1	Cust_No	1	1	1	1	1	1	0	0	0	0	0
d5e78568-8e1d-4151-ba32-4b9a88fde802	销售退回单	SALES.BPL	OpenSale_Withdrawal	TfSale_Withdrawal	0	SW_No	1	0	0	0	0	0	0	0	0	0	0
2af1e75f-ed21-4754-92ed-53fe5eb57971	商品分类	Basic.bpl	OpenGDSType	TfGDSType	0	GDSTYPENO	1	1	1	1	1	1	0	0	0	0	1
96dd56ce-8f49-4290-9cbe-56ce0c29c612	工厂基本资料	Basic.bpl	OpenFACTORY	TfFACTORY	0	FAC_NO	0	0	0	0	0	0	0	0	0	0	1
c5d7d54c-23bd-41eb-890a-5d0f2b4e07d3	仓库基本资料	Basic.bpl	OpenStock	TfStock	0	STK_NO	0	0	0	0	0	0	0	0	0	0	1
bb86263a-4f94-4fae-a365-5da15fd72647	学历设置	Basic.bpl	OpenLONGEVITY	TfLONGEVITY	0	LOYNO	1	1	1	1	1	1	0	0	0	0	0
f6b6ae1c-a04c-4fac-9ff0-65f10036415b	公司基本资料	Basic.bpl	OpenCOMPANY	TfCOMPANY	0	CONO	0	0	0	0	1	0	0	0	0	0	0
2a49c03c-09eb-470a-b567-6aeef66ee4b6	销售通路选择	SelectMD.bpl	OpenSelectSale_Access	TfSelectSale_Access	1		1	1	1	1	1	1	0	0	0	0	0
9b4f3d95-a242-42c6-a1e5-6b046843fb35	颜色基本资料	Basic.bpl	OpenCOLORS	TfCOLORS	0	COLORNO	1	0	1	0	0	1	0	0	0	0	1
9abe08b4-e048-42ce-b465-725978129c20	客户销售价格设定	SALES.BPL	OpenSALE_GDS_PRICE	TfSALE_GDS_PRICE	0		0	1	0	1	1	1	0	0	0	0	1
a0d3969d-9a03-4c09-ac43-755b60fd30fa	销售网点	Basic.bpl	OpenSale_Stage	TfSale_Stage	0	SSA_NO	0	1	0	1	1	1	0	0	0	0	0
d981bb23-3919-47ac-81a0-8500a2825d6c	供应商访谈记录	Purchase.bpl	OpenPur_Supp_Access	TfPur_Supp_Access	0	PSA_NO	0	0	0	0	0	0	0	0	0	0	0
f728ad35-521f-4e90-a4d6-8564d27f34d5	销售订单	SALES.BPL	OpenSale_Order	TfSale_Order	0	So_No	1	0	0	0	0	0	0	0	0	0	1
